hospital_name,county,level,ownership
ULTRAMED HEALTH CARE,Kilifi,Level 2,Private Practice - Clinical Officer
Sasa,Kiambu,Level 2,Non-Governmental Organizations
Obwogre Dispensary,Siaya,Level 2,Ministry of Health
Uloma Dispensary,Siaya,Level 2,Ministry of Health
Tumaini DISC Clinic,Siaya,Level 2,Non-Governmental Organizations
Matibabu Ugunja Clinic,Siaya,Level 2,Non-Governmental Organizations
NYAMUSI MEDICAL CENTER,Nyamira,Level 2,Private Practice - Clinical Officer
Kithia Dispensary,Machakos,Level 2,Ministry of Health
Sere Dispensary (Nyamira north),Nyamira,Level 2,Public Institution
Nuclear Medical Laboratory,Nyeri,Level 2,Laboratory Technician/Technologist
Lilyon Nursing Home,West Pokot,Level 2,Private Practice - Clinical Officer
Sagatia Medical centre,Kajiado,Level 2,Private Practice - Clinical Officer
Jowasi Medical clinic,Nyeri,Level 2,Private Practice - Clinical Officer
MFANGANO COMMUNITY HEALTH CENTREM,Homa Bay,Level 2,Non-Governmental Organizations
Musyi Medical Clinic,Machakos,Level 2,Private Practice - Clinical Officer
Sun Rise Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Mt.Sinai Hospital,Kisumu,Level 2,Private Practice - Medical Specialist
Chogoria Cospital Chuka Medical Center,Tharaka-Nithi,Level 2,Other Faith Based
Lomidat dispensary,Turkana,Level 2,Ministry of Health
Lolupe (Turkana West) Dispensary,Turkana,Level 2,Ministry of Health
Locheredome (Turkana West) Dispensary,Turkana,Level 2,Ministry of Health
sukut dispensary,West Pokot,Level 2,Ministry of Health
The Almond Clinic,Kitui,Level 2,Private Practice - Clinical Officer
Chrizah Medical Clinic,Bungoma,Level 2,Private Practice - Clinical Officer
Kisumu Specialist Hospital,Kisumu,Level 3,Private Practice - Medical Specialist
Komarock Modern Hospital Utawala,Nairobi,Level 4,Private Enterprise (Institution)
EURAKA MEDICAL CENTRE,Nairobi,Level 3,Private Enterprise (Institution)
SWOP Clinic Donholm,Nairobi,Level 2,Non-Governmental Organizations
Facility Official Name * Nyamage,Migori,Level 2,Ministry of Health
Gomba Medical Clinic,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Bacasavi Medical Clinic,Trans Nzoia,Level 2,Private Practice - General Practitioner
Mitambo dispensary,Trans Nzoia,Level 2,Ministry of Health
Kibormos dispensary,Trans Nzoia,Level 2,Ministry of Health
MFANGANO COMMUNITY HEALTH CENTRE,Homa Bay,Level 2,Non-Governmental Organizations
Maviaume Dispensary,Makueni,Level 2,Ministry of Health
Rapha Healthcare Centre,Kisumu,,Private Practice - Clinical Officer
"IOM MIGRATION HEALTH ASSESMENT CENTRE,KAKUMA",Turkana,,Non-Governmental Organizations
Avenue Health  Care Garden City Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Gateway Health Services,Kiambu,Level 2,Private Practice - Nurse / Midwifery
KIPASI COMMUNITY HEALTH CENTRE (Lambwe),Homa Bay,Level 2,Ministry of Health
mogondo dispensary,Narok,Level 2,Ministry of Health
Chaka Medical Clinic,Kiambu,Level 2,Private Practice - Clinical Officer
Medicross Medical Clinic,Kiambu,Level 2,Private Practice - Clinical Officer
Juja Modern Hospital & Maternity,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Talana specialist centre,Kajiado,Level 2,Private Practice - Medical Specialist
REHOBOTH MEDICAL CLINIC,Embu,Level 2,Private Practice - Nurse / Midwifery
ISHIARA HEALTH CARE CLINIC,Embu,Level 2,Private Practice - Nurse / Midwifery
Machakos Central Clinic,Machakos,Level 2,Private Practice - General Practitioner
ISHIARA FOCUS MEDICAL CARE,Embu,Level 2,Private Practice - Clinical Officer
Homabay Central Medical Clinic (Homa Bay Central),Homa Bay,Level 2,Private Practice - Clinical Officer
OTARO,Homa Bay,Level 2,Christian Health Association of Kenya
Oasis Doctors Plaza,Homa Bay,Level 2,Private Practice - Medical Specialist
Rachare Dispensary,Siaya,Level 2,Ministry of Health
Mazola Dispensary,Kwale,Level 2,Ministry of Health
Nabuala Medical Centre,Bungoma,Level 2,Private Practice - Clinical Officer
Phoenix Healthcare (Maua),Meru,Level 3,Private Practice - General Practitioner
OBAMA DISPENSARY,Migori,Level 2,Public Institution
Nairiri Dispensary,Uasin Gishu,Level 2,Ministry of Health
Solonamu medical centre,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Galaxy Medical Centre-Ngatataek,Kajiado,Level 2,Private Practice - General Practitioner
Whiterose Medical centre Gategi satellite,Embu,Level 3,Private Enterprise (Institution)
Makutano Dispensary (Mwea),Embu,Level 2,Ministry of Health
Kangungi Dispensary,Embu,Level 2,Ministry of Health
Korakora Health Centre,Garissa,Level 3,Ministry of Health
Damasa Dispensary,Mandera,Level 2,Ministry of Health
Gari Dispensary,Mandera,Level 2,Ministry of Health
Bambo Dispensary (Waranqara),Mandera,Level 2,Ministry of Health
Kabo Dispensary,Mandera,Level 2,Ministry of Health
Alungu Dispensary,Mandera,Level 2,Ministry of Health
Mkondoni Dispensary,Kilifi,Level 2,Ministry of Health
Sosobora Dispesary,Kilifi,Level 2,Ministry of Health
Gianchere Dispensary,Kisii,Level 2,Ministry of Health
Makdavis Medical Clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Lagsure Dispensary,Mandera,Level 2,Ministry of Health
Didkuro Dispensary,Mandera,Level 2,Ministry of Health
Qarsahama Dispensary,Mandera,Level 2,Ministry of Health
El-Danada Dispensary,Mandera,Level 2,Ministry of Health
Alpha Hill Medical Centre,Nandi,Level 4,Private Practice - Clinical Officer
Arrow Web Clinic,Nairobi,Level 3,Company Medical Service
KIHOME DISPENSARY,Nyeri,Level 2,Ministry of Health
THUNGURI DISPENSARY,Nyeri,Level 2,Ministry of Health
Kyondoni Dispensary (Kauwi),Kitui,Level 2,Ministry of Health
MAISHA CLINIC,Homa Bay,Level 2,Private Practice - Nurse / Midwifery
Nyalunya Community Nursing Home,Kisumu,Level 2,Ministry of Health
Kenya Red Cross Kalobeyei Health centre,Turkana,Level 4,Non-Governmental Organizations
Wasio  dispensary,Bungoma,Level 2,Ministry of Health
Roses Healthcare Clinc,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
GALAXY MEDICAL CENTRE,Kisii,Level 3,Private Practice - Medical Specialist
LADACA,Kisii,Level 3,Private Practice - Clinical Officer
THE AVENUE MEDICAL AND DIAGNOSTIC CENTRE.,Nyeri,Level 2,Private Practice - Clinical Officer
Prince Alvin Medical Centre,Kiambu,Level 2,Private Practice - Clinical Officer
Thika Heart Centre,Kiambu,Level 2,Private Practice - Medical Specialist
Kirege Dispensary,Tharaka-Nithi,Level 2,Other Faith Based
Avenue Health Care-Eldoret Clinic,Uasin Gishu,Level 2,Private Enterprise (Institution)
Velma Memorial Medical Centre,Kirinyaga,Level 4,Private Practice - Medical Specialist
Bongu Konyango Dispensary,Kisumu,Level 2,Ministry of Health
Vuyika Dispensary,Kakamega,Level 3,Ministry of Health
Sigma Medical Centre,Embu,Level 2,Company Medical Service
Uae Dispensary,Kitui,Level 2,Ministry of Health
Bethsaida Family Hospital,Machakos,Level 2,Private Practice - Nurse / Midwifery
Emmanuel community health clinic (Rware),Nyeri,Level 2,Private Practice - Nurse / Midwifery
Faith medical Laboratory,Nyeri,Level 2,Private Practice - General Practitioner
Hope community Nursing services,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Mary Immaculate (Kingongo),Nyeri,Level 2,Other Faith Based
The Agha Khan Medical Centre-Rigeways(Kiambu Rd.),Nairobi,Level 2,Private Practice - General Practitioner
Springs Health Services,Nairobi,Level 2,Private Practice - Clinical Officer
Mary Immaculate (Ruringu),Nyeri,Level 2,Other Faith Based
TUMAINI DISC-SIAYA,Siaya,Level 3,Non-Governmental Organizations
Providence Medical Centre - Mathare North,Nairobi,Level 3,Private Practice - General Practitioner
Imani 44 Medical Clinic,Nairobi,Level 2,Private Practice - Clinical Officer
