hospital_name,county,level,ownership
Hope Compassionate (ACK) Dispensary,Homa Bay,Level 2,Christian Health Association of Kenya
Mongorisi Health Centre,Nyamira,Level 3,Ministry of Health
Riakinaro Health Centre,Nyamira,Level 3,Ministry of Health
Kenyambi Health Centre (Nyamira),Nyamira,Level 3,Ministry of Health
Emusire Health Centre,Vihiga,Level 3,Ministry of Health
St Peters Gaitheri (ACK) Dispensary,Murang'A,Level 2,Christian Health Association of Kenya
Prisca Wakarima (ACK) Dispensary,Murang'A,Level 2,Christian Health Association of Kenya
Gaturi Catholic Parish Dispensary,Murang'A,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Eburi Dispensary,Kisii,Level 2,Ministry of Health
Bokimai Dispensary,Kisii,Level 2,Ministry of Health
Openda Dispensary,Kisii,Level 2,Ministry of Health
Miangeni Dispensary (Makueni),Makueni,Level 2,Ministry of Health
Kagunduini Dispensary,Murang'A,Level 2,Ministry of Health
Mariaini Dispensary,Murang'A,Level 2,Ministry of Health
Katipanga Dispensary,Murang'A,Level 2,Ministry of Health
Mbuini Dispensary,Makueni,Level 2,Ministry of Health
Kyenzenzeni Dispensary,Makueni,Level 2,Ministry of Health
Kyau Dispensary,Makueni,Level 2,Ministry of Health
Yekanga Dispensary,Makueni,Level 2,Ministry of Health
Kambimawe Dispensary,Makueni,Level 2,Ministry of Health
Kaia Dispensary,Makueni,Level 2,Ministry of Health
Kee Dispensary,Makueni,Level 2,Ministry of Health
Kithuni Dispensary,Makueni,Level 2,Ministry of Health
Ikalyoni Dispensary,Makueni,Level 2,Ministry of Health
Itithini Dispensary,Makueni,Level 2,Ministry of Health
Mwaani Dispensary,Makueni,Level 2,Ministry of Health
Nthimbani Dispensary,Makueni,Level 2,Ministry of Health
Nthangu Dispensary,Makueni,Level 2,Ministry of Health
Waso Rongai Dispensary,Samburu,Level 2,Ministry of Health
Kumahumato Dispensary,Garissa,Level 2,Ministry of Health
Mulinde Dispensary,Kitui,Level 2,Ministry of Health
Ngiluni Dispensary (Mwingi),Kitui,Level 2,Ministry of Health
Itoloni Dispensary,Kitui,Level 2,Ministry of Health
Kwa Kavoo Dispensary,Kitui,Level 2,Ministry of Health
Kanyekini Dispensary,Kitui,Level 2,Ministry of Health
Nzauni Dispensary,Kitui,Level 2,Ministry of Health
Kasevi Dispensary,Kitui,Level 2,Ministry of Health
Mathyakani Dispensary,Kitui,Level 2,Ministry of Health
Kilulu Dispensary,Kitui,Level 2,Ministry of Health
Wikithuki Dispensary,Kitui,Level 2,Ministry of Health
Muliluni Dispensary,Kitui,Level 2,Ministry of Health
Nduu Dispensary,Machakos,Level 2,Ministry of Health
Ndunduni Dispensary,Machakos,Level 2,Ministry of Health
Kiliku Dispensary,Machakos,Level 2,Ministry of Health
Endebess District Hospital,Trans Nzoia,Level 4,Ministry of Health
Hungai Dispensary,Wajir,Level 2,Ministry of Health
Almacy Medical  Clinic,Siaya,Level 2,Private Practice - Nurse / Midwifery
Musembe Dispensary,Kakamega,Level 2,Ministry of Health
Nairobi Womens Hospital Adams,Nairobi,Level 4,Private Enterprise (Institution)
Kithaku Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Royal Clinic & Laboratory,Meru,Level 2,Private Enterprise (Institution)
Juzippos Health Care Clinic,Meru,Level 2,Private Enterprise (Institution)
Kasafari Dispensary (CDF),Embu,Level 2,Ministry of Health
Nyabiosi Dispensary,Kisii,Level 2,Ministry of Health
Gikuuri Dispensary (CDF),Embu,Level 2,Ministry of Health
Nyaoga Community Dispensary,Homa Bay,Level 2,Non-Governmental Organizations
Itembu Dispensary,Kisii,Level 2,Ministry of Health
Kerumbe Dispensary,Nyamira,Level 2,Ministry of Health
Nyagichenche (SDA) Dispensary,Kisii,Level 2,Christian Health Association of Kenya
Narumoru Catholic Dispensary,Nyeri,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Munyaka Dispensary,Nyandarua,Level 2,Ministry of Health
Regional Blood Transfusion Centre (Embu),Embu,Level 2,Ministry of Health
Lea Toto Clinic (Westlands),Nairobi,Level 2,Non-Governmental Organizations
Mercy Dispensary (Lare),Nakuru,Level 2,Private Enterprise (Institution)
Gichago Dispensary,Nairobi,Level 2,Private Enterprise (Institution)
Mawamu Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Al-Gadhir Clinic,Nairobi,Level 2,Non-Governmental Organizations
Kibirichia Medcare,Meru,Level 2,Private Enterprise (Institution)
Lereshwa Dispensary (Kipipiri),Nyandarua,Level 2,Ministry of Health
Kaathari Dispensary (CDF),Embu,Level 2,Ministry of Health
Gatimbi Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Neboi Dispensary,Mandera,Level 2,Ministry of Health
Lombi Medical Clinic,Homa Bay,Level 2,Private Practice - Clinical Officer
Good Hope Clinic,Meru,Level 2,Private Enterprise (Institution)
Nyamagiri Dispensary,Kisii,Level 2,Ministry of Health
Njuthine Dispensary,Meru,Level 2,Ministry of Health
Wachoro Medical Clinic,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
Lord of Mercy Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Nyandiwa Baptist Dispensary,Homa Bay,Level 2,Christian Health Association of Kenya
Nguuni Dispensary,Kitui,Level 2,Ministry of Health
Thonzweni Dispensary,Kitui,Level 2,Ministry of Health
Jonalifa Clinic,Nairobi,Level 3,Non-Governmental Organizations
Kiandutu Health Centre,Kiambu,Level 3,Ministry of Health
Gatina United Clinic,Nairobi,Level 2,Non-Governmental Organizations
Avarende Medical Clinic,Kakamega,Level 2,Private Enterprise (Institution)
Ematiha Dispensary,Kakamega,Level 2,Ministry of Health
Mukong'a Dispensary,Kitui,Level 2,Ministry of Health
St Jones &Ring Road Health Clinic,Kisumu,Level 3,Private Enterprise (Institution)
Ngongoni Dispensary (Kyuso),Kitui,Level 2,Ministry of Health
Kalatine Dispensary,Kitui,Level 2,Ministry of Health
Gaatia Dispensary,Meru,Level 2,Ministry of Health
AAR Clinic Sarit Centre (Westlands),Nairobi,Level 2,Private Enterprise (Institution)
St Jane Nursing Home,Kisumu,Level 3,Other Faith Based
Apex Clinic,Siaya,Level 2,Private Enterprise (Institution)
Turi (PCEA) Dispensary,Nakuru,Level 2,Christian Health Association of Kenya
St Lukes (Molo),Nakuru,Level 3,Private Enterprise (Institution)
Right Choice Clinic,Meru,Level 2,Private Enterprise (Institution)
Emc Kimumu Dispensary,Uasin Gishu,Level 2,Ministry of Health
Mawego Health Centre,Homa Bay,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Ng'iya Health Centre,Siaya,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Kiamutugu Health Centre,Kirinyaga,Level 3,Ministry of Health
Kamweti Dispensary,Kirinyaga,Level 2,Ministry of Health
Jesmond (ACK) Dispensary (Mburi),Kirinyaga,Level 2,Christian Health Association of Kenya
Kianyaga Sub-District Hospital,Kirinyaga,Level 4,Ministry of Health
Gatumbi (SDA) Dispensary,Kirinyaga,Level 2,Christian Health Association of Kenya
Gaciongo Dispensary (Kirinyaga),Kirinyaga,Level 2,Ministry of Health
Karumandi  Health Centre,Kirinyaga,Level 3,Ministry of Health
Gatugura Dispensary,Kirinyaga,Level 2,Ministry of Health
Kabare Health Centre,Kirinyaga,Level 3,Ministry of Health
PCEA Gateway,Kirinyaga,Level 2,Christian Health Association of Kenya
Joshua Memorial Mbai Dispensary,Kirinyaga,Level 2,Ministry of Health
Kiang'ombe Dispensary,Kirinyaga,Level 2,Ministry of Health
Elgeyo Boader Dispensary,Uasin Gishu,Level 2,Ministry of Health
Muyengwet Dispensary,Uasin Gishu,Level 2,Ministry of Health
Luanda Mch/Fp Clinic,Vihiga,Level 2,Private Practice - Nurse / Midwifery
Dagamra Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Ukweli Medical Clinic,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
Muwa M Clinic,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
Hongwe Clinic,Lamu,Level 2,Private Practice - Nurse / Midwifery
St Paul Medical Clinic (Makutano),Machakos,Level 2,Private Practice - Clinical Officer
Mission K Clinic,Lamu,Level 2,Private Practice - Nurse / Midwifery
Ahadi Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Mummy's Medical Clinic,Vihiga,Level 2,Private Practice - Nurse / Midwifery
Mumbuni Nursing Home,Kitui,Level 3,Private Practice - Nurse / Midwifery
Ismc,Marsabit,Level 2,Private Practice - Nurse / Midwifery
Mamuki Medical Clinic,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Vision Medical Clinic (Naromoru/kiamathaga),Nyeri,Level 2,Private Practice - Nurse / Midwifery
Pona Medical Clinic (Nyeri North),Nyeri,Level 2,Private Practice - Clinical Officer
M K M Clinic,Kirinyaga,Level 2,Private Practice - Clinical Officer
Mivumoni (Catholic) Dispensary,Kwale,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mrima (Catholic) Dispensary,Kwale,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mundoro Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Godo Dispensary,Kwale,Level 2,Ministry of Health
Marsabit Medical Clinic,Marsabit,Level 2,Private Practice - Nurse / Midwifery
Gitwe Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Kamakwa Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Josan Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Clinical Officer
Sugarbaker Memorial Clinic,Nyeri,Level 2,Christian Health Association of Kenya
Zawadi Clinic,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Heshima Clinic,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Oljororok Catholic Dispensary,Nyandarua,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Nyeri High School Clinic,Nyeri,Level 2,Academic
Joskae Clinic Kibingoti,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Bakarani Maternity and Nursing Home,Mombasa,Level 3,Private Enterprise (Institution)
Mercy Medical (Kianugu) Clinic,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Ngathini Dispensary,Kwale,Level 2,Ministry of Health
Time Health Care,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Nyamache Sub County Referral Hospital,Kisii,Level 4,Ministry of Health
Gloria Health Services,Kajiado,Level 2,Private Enterprise (Institution)
Pollen Medical Clinic,Kiambu,Level 2,Company Medical Service
Neema Medicare Centre,Kiambu,Level 2,Private Enterprise (Institution)
Winners Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Phase Ten Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Prime Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Ongata Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Kaithe Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Karinga Mission,Kiambu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mukurwe (PCEA) Medical Clinic,Kiambu,Level 2,Christian Health Association of Kenya
Olive Health Care/Laboratory,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Kiandu Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Mugas Clinic,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Gatugi Mission Dispensary,Nyeri,Level 2,Other Faith Based
Rehema Medical Centre,Murang'A,Level 2,Private Practice - Nurse / Midwifery
Jamii Medical Clinic (Gatundu),Kiambu,Level 2,Private Practice - Nurse / Midwifery
Kigongo Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Bcj Medical Centre,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Good Samaritan (ACK) Medical Clinic,Nyeri,Level 2,Christian Health Association of Kenya
Marua Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Marura Nursing Home,Nairobi,Level 3,Private Enterprise (Institution)
Masa Medical Clinic (Nyeri North),Nyeri,Level 2,Private Practice - Clinical Officer
Khilna Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Mungu Aponya Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Mwangaza Medical Clinic (Thika),Kiambu,Level 2,Private Enterprise (Institution)
X-Cellent Medical Centre,Nakuru,Level 2,Private Enterprise (Institution)
Peka Maga Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Getrude Donholm Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Uzima Medical Clinic (Imenti South),Meru,Level 2,Private Enterprise (Institution)
Timau Integrated Medical Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
Coni Health Centre,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Genessaret Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Delta Medical Clinic Dandora,Nairobi,Level 2,Private Enterprise (Institution)
Aski Medical Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Kibutha Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Phase 7 Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Pilot Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Kihoya Medical Centre,Murang'A,Level 2,Private Enterprise (Institution)
Rusana Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Kasarani Maternity,Nairobi,Level 3,Private Practice - Nurse / Midwifery
Samaritan Medical Clinic,Nyeri,Level 2,Private Enterprise (Institution)
Wananchi Medical Centre,Kirinyaga,Level 2,Private Practice - General Practitioner
Chemin Clinic,Kisii,Level 2,Private Enterprise (Institution)
Alfa Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Firmview Medical Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Jirani Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Uzima Medical Clinic (Thika),Kiambu,Level 2,Private Enterprise (Institution)
Mv Patel Clinic,Kisumu,Level 2,Private Enterprise (Institution)
Central Clinic (Kisumu East),Kisumu,Level 2,Private Enterprise (Institution)
Avenue Health Care Clinic,Kisumu,Level 2,Private Enterprise (Institution)
New Hope Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Jaima Clinic,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Arcade Medical Clinic (Ruiru),Kiambu,Level 2,Private Practice - Nurse / Midwifery
Gatunga Health Centre,Tharaka-Nithi,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Furqan Dispensary,Tana River,Level 2,Ministry of Health
New Southlands Laboratory,Meru,Level 2,Private Enterprise (Institution)
New Southlands Med Clinic,Meru,Level 2,Private Enterprise (Institution)
Marble Medical Laboratory,Meru,Level 2,Private Enterprise (Institution)
Omwabo Medical Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Trans-Saharan Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Ithanga Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Highway Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Mercy Afya Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Sawa Medical Consultants,Kiambu,Level 2,Private Enterprise (Institution)
Dr Maina,Kiambu,Level 2,Private Enterprise (Institution)
Queen of Peace Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Penta Flowers Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Wote Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Redland Roses Ltd Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Bondo Medical Clinic,Siaya,Level 2,Private Enterprise (Institution)
St James Medical Clinic,Nakuru,Level 2,Private Enterprise (Institution)
Bonzina Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Trinity Clinic (Ruiru),Kiambu,Level 2,Private Enterprise (Institution)
Royal Medical Clinic (Thika),Kiambu,Level 2,Private Enterprise (Institution)
Kikoshep Kenya (Mugumoini),Nairobi,Level 2,Non-Governmental Organizations
Kathande Medical Clinic,Embu,Level 2,Private Enterprise (Institution)
Optician Clinic,Meru,Level 2,Private Enterprise (Institution)
Tumaini Medial Clinic (Miriga Mieru West),Meru,Level 2,Private Enterprise (Institution)
Zena Roses Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Tumaini Medical Clinic Laboratory,Meru,Level 2,Private Enterprise (Institution)
Upendo Medical Laboratory,Meru,Level 2,Private Enterprise (Institution)
Mayo Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Nica Kaunjira Dispensary,Meru,Level 2,Private Enterprise (Institution)
Wananchi Health Services Laboratory,Meru,Level 2,Private Enterprise (Institution)
Jambu Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Sunrise Medical Clinic (Mandera East),Mandera,Level 2,Private Enterprise (Institution)
Garrissa Highway Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Tawakal Medical Clinic (Mandera East),Mandera,Level 2,Private Enterprise (Institution)
Wananchi Health Services,Meru,Level 2,Private Enterprise (Institution)
Town Clinic Laboratory,Meru,Level 2,Private Enterprise (Institution)
Amal Medical Clinic,Mandera,Level 2,Private Enterprise (Institution)
Makutano Medical Clinic/Lab,Meru,Level 2,Private Enterprise (Institution)
Kirogine Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Mutindwa Laboratory,Meru,Level 2,Private Enterprise (Institution)
Meru Dental Services,Meru,Level 2,Private Enterprise (Institution)
Ntima Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Myopic Eye Clinic,Meru,Level 2,Private Enterprise (Institution)
Nehema Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Tonymed Medical Clinic,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Meru Consultants,Meru,Level 2,Private Enterprise (Institution)
Kaithe Stage Medcare Clinic,Meru,Level 2,Private Enterprise (Institution)
Meru Medical /ENT Clinic,Meru,Level 2,Private Enterprise (Institution)
Meru Dignostic / Laboratory Services,Meru,Level 2,Private Enterprise (Institution)
Meru Diagnostic Centre,Meru,Level 2,Private Enterprise (Institution)
Kaithe Stage Medcare,Meru,Level 2,Private Enterprise (Institution)
Meru Consultants Laboratory,Meru,Level 2,Private Enterprise (Institution)
Kamuti Clinic,Meru,Level 2,Private Enterprise (Institution)
Meru Clinic,Meru,Level 2,Private Enterprise (Institution)
Mayo Medical Laboratory,Meru,Level 2,Private Enterprise (Institution)
Meru Medical Plaza Laboratory,Meru,Level 2,Private Enterprise (Institution)
Imenti X-Ray Services,Meru,Level 2,Private Enterprise (Institution)
Jamii Medical Clinic (Meru),Meru,Level 2,Private Enterprise (Institution)
Huruma Medical Centre,Meru,Level 2,Private Enterprise (Institution)
Generation Medical Clinic/Lab,Meru,Level 2,Private Enterprise (Institution)
Mutindwa Med Clinic,Meru,Level 2,Private Enterprise (Institution)
General Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Eastern Medical Consultants,Meru,Level 2,Private Enterprise (Institution)
Dorjos Health Services,Meru,Level 2,Private Enterprise (Institution)
Marble Clinic,Meru,Level 2,Private Enterprise (Institution)
Gakoromone Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Blue House Dispensary,Nairobi,Level 3,Non-Governmental Organizations
Wema Catholic Dispensary,Tana River,Level 2,Other Faith Based
Iftin Medical and Lab Services,Garissa,Level 2,Private Enterprise (Institution)
Kangaru Hospital,Embu,Level 4,Private Enterprise (Institution)
Afya Medical Clinic (Garissa),Garissa,Level 2,Private Practice - Clinical Officer
Thuita Clinic,Tharaka-Nithi,Level 2,Private Enterprise (Institution)
Githurai Community Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Shammah Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Somo Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Simbi Roses Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Shalom Medical Clinic (Thika),Murang'A,Level 2,Private Enterprise (Institution)
James Clinic and Lab Services,Murang'A,Level 2,Private Enterprise (Institution)
Joyland Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Mugumo-Ini Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Osotua Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Bullampya Medical Clinic,Mandera,Level 2,Private Enterprise (Institution)
Kithatu Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Kinoro Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Wairungu Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Kmc Clinic Mwichune,Meru,Level 2,Private Practice - Nurse / Midwifery
Times Medical Clinic,Samburu,Level 2,Private Practice - Clinical Officer
St John Baptist Ikalaasa Mission Dispensary,Machakos,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Lungalunga Subcounty Hospital,Kwale,Level 2,Ministry of Health
Karatina Medical Services,Nyeri,Level 2,Private Practice - Clinical Officer
Dr Kariuki,Kiambu,Level 2,Private Practice - General Practitioner
Banadir Clinic,Mandera,Level 2,Private Enterprise (Institution)
Kirwara Health Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Umoja Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Ntemwene Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Ntharene Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Mitunguu Medical Services,Meru,Level 2,Private Practice - Nurse / Midwifery
Almed Health Products,Mandera,Level 2,Private Enterprise (Institution)
Canan Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Northern Medical Clinic,Mandera,Level 2,Private Enterprise (Institution)
Afya Medical Clinic (Muranga North),Murang'A,Level 2,Private Practice - Nurse / Midwifery
Annex Medical Clinic (Muranga North),Murang'A,Level 2,Private Enterprise (Institution)
Kiriaini Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Huruma Dispensary,Nakuru,Level 2,Other Faith Based
Dr MOHamed Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Jevros Clinic,Migori,Level 2,Private Practice - Clinical Officer
St Mary's Medical Clinic (Umoja II),Nairobi,Level 2,Private Enterprise (Institution)
Revival Home Based Care Clinic,Nairobi,Level 3,Other Faith Based
Canaan Health Providers (Nairobi),Nairobi,Level 2,Private Enterprise (Institution)
AAR City Centre Clinic,Nairobi,Level 2,Private Enterprise (Institution)
AAR Medical Services (Docks),Mombasa,Level 2,Private Enterprise (Institution)
AAR Thika Road Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Kingstone Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Ideal Medical Clinic (Kangundo),Machakos,Level 2,Private Enterprise (Institution)
Jordan Medical Clinic (Kangundo),Machakos,Level 2,Private Enterprise (Institution)
Paramount Medical Clinic,Mandera,Level 2,Private Enterprise (Institution)
Christian Community Services Clinic Base Kerugoya,Kirinyaga,Level 2,Christian Health Association of Kenya
Emukaya Clinic,Kakamega,Level 2,Private Enterprise (Institution)
Wananchi Medical Clinic (Kajiado),Kajiado,Level 2,Private Practice - Clinical Officer
Kisukioni Medical Services,Machakos,Level 2,Private Enterprise (Institution)
St David's Health Care,Machakos,Level 2,Private Practice - Nurse / Midwifery
St Ann's Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Nguuni Health Centre,Mombasa,Level 2,Private Enterprise (Institution)
New Road Medical Care,Mombasa,Level 2,Private Enterprise (Institution)
Sau Health Services,Mombasa,Level 2,Private Enterprise (Institution)
Athi River Medical Services,Machakos,Level 3,Private Enterprise (Institution)
Hardship Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Nairobi Pathologist Clinic,Makueni,Level 2,Private Practice - Clinical Officer
Joint Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Gorofani Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Geca Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
St Grace Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Michaela Denis Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Chizi Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Bomu Medical Centre (Likoni),Mombasa,Level 2,Private Enterprise (Institution)
Huruma Medical Clinic (Kangundo),Machakos,Level 2,Private Enterprise (Institution)
Gaimu Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Bona Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Dr Aziz Mohamed Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Kaikor Sub County Hospital,Turkana,Level 3,Ministry of Health
Healthway Medical Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Kisauni Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Crossroad Nursing Home,Marsabit,Level 2,Private Enterprise (Institution)
Samba Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Pendo Medical Clinic (Kinango),Kwale,Level 2,Private Enterprise (Institution)
Samburu Medical Centre,Kwale,Level 2,Private Enterprise (Institution)
Kinango Medical Clinic,Kwale,Level 2,Private Enterprise (Institution)
Kilawani Medical Clinic,Kitui,Level 2,Private Enterprise (Institution)
Bethsaida Medical Clinic (Kangundo),Machakos,Level 2,Private Enterprise (Institution)
Mtangani Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Mtondia Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Pona Dispensary,Machakos,Level 2,Private Enterprise (Institution)
Bombululu Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Loltulelei Friends Dispensary,Samburu,Level 2,Christian Health Association of Kenya
Gitaru Clinic,Embu,Level 2,Private Enterprise (Institution)
Chalo Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Rea Vipingo Dispensary,Kilifi,Level 2,Company Medical Service
Imperial Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Mt Harmony Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Kemri Staff Clinic and VCT Centre,Kilifi,Level 2,Company Medical Service
Amani Medical Clinic (Kilifi),Kilifi,Level 2,Private Enterprise (Institution)
Kaloleni Health Servics,Nairobi,Level 2,Private Enterprise (Institution)
Tala Medical Services,Machakos,Level 2,Private Enterprise (Institution)
Sevani Medical Centre,Mombasa,Level 2,Private Enterprise (Institution)
St Bridget's Mother & Child,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Medicare Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Marie Stopes Clinic (Pangani),Nairobi,Level 2,Non-Governmental Organizations
Marie Stopes Clinic (Kencom),Nairobi,Level 2,Non-Governmental Organizations
Kasilili Medical Clinic,Kitui,Level 2,Private Enterprise (Institution)
Wajir Bor Health Centre,Wajir,Level 3,Ministry of Health
Al Riyadh Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Bahari Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Landmawe Medical Services,Nairobi,Level 2,Private Enterprise (Institution)
Dabliu Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Emmaus Nursing Home,Nairobi,Level 3,Private Enterprise (Institution)
Mayflower Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Machakos Medical Clinic,Machakos,Level 3,Private Practice - General Practitioner
Mundoro Medical Clinic Dandora,Nairobi,Level 2,Private Enterprise (Institution)
Mwatate Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Pine Medical Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Ruai Community Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Samaritan Medical Services (Dandora),Nairobi,Level 3,Non-Governmental Organizations
St Begson Clinic,Nairobi,Level 2,Private Enterprise (Institution)
St Jude's Medical Centre,Nairobi,Level 2,Private Enterprise (Institution)
Mikanjuni Family Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
